N	nu_0	J	eta_n	phi_pack	ftype	n_steps	dt	n_save	update_nn	fanisotropy	max_dist	date_string	filename
50	0.25	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,18,02	sphere_data_analysis_2015-08-05_18-18-02.p
50	0.25	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,19,55	sphere_data_analysis_2015-08-05_18-19-55.p
50	0.25	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,21,49	sphere_data_analysis_2015-08-05_18-21-49.p
50	0.25	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,23,41	sphere_data_analysis_2015-08-05_18-23-41.p
50	0.25	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,25,31	sphere_data_analysis_2015-08-05_18-25-31.p
50	0.25	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,27,26	sphere_data_analysis_2015-08-05_18-27-26.p
50	0.25	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,29,24	sphere_data_analysis_2015-08-05_18-29-24.p
50	0.25	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,31,23	sphere_data_analysis_2015-08-05_18-31-23.p
50	0.25	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,32,58	sphere_data_analysis_2015-08-05_18-32-58.p
50	0.25	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,35,00	sphere_data_analysis_2015-08-05_18-35-00.p
50	0.25	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,36,55	sphere_data_analysis_2015-08-05_18-36-55.p
50	0.25	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,38,49	sphere_data_analysis_2015-08-05_18-38-49.p
50	0.25	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,40,13	sphere_data_analysis_2015-08-05_18-40-13.p
50	0.25	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,41,37	sphere_data_analysis_2015-08-05_18-41-37.p
50	0.25	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,43,00	sphere_data_analysis_2015-08-05_18-43-00.p
50	0.25	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,44,40	sphere_data_analysis_2015-08-05_18-44-40.p
